CISID,Current Rt #,New Rt #,RT Type,52 Wk Avg,Customer,Address,City ,Planogram Voids
54279,32722,210,YJ,7080,ELRODS #3,8100 LAKE JUNE RD,DALLAS,Yes
2232538,32722,210,YJ,7868,EL RANCHO #8,1515 S BUCKNER BLVD STE 301,DALLAS,Yes
2086024,32722,201,YJ,7722,FIESTA MART #57,2951 S BUCKNER BLVD,DALLAS,Yes
42081794,32722,201,YJ,14240,WALMART NM 3015,2827 S BUCKNER BLVD,DALLAS,Yes
42081795,32722,201,YJ,850,WALMART NM IMP 3015,2827 S BUCKNER BLVD,DALLAS,Yes
1951076,32723,207,M3,1764,FUEL CITY(IBC),801 S RIVERFRONT BLVD,DALLAS,Yes
42313294,32723,207,M3,24,FUEL CITY,801 S RIVERFRONT BLVD,DALLAS,Yes
42126456,32723,207,M3,576,7-ELEVEN #39787,1000 S RIVERFRONT BLVD,DALLAS,Yes
2417868,32723,207,M3,362,URBAN MARKET(IBC),1409 S LAMAR ST APT 10,DALLAS,Yes
741036,32723,207,M3,154,KWIK STOP (NTTA),339 S RIVERFRONT BLVD,DALLAS,Yes
2526104,32723,207,M3,784,7-ELEVEN #35416,750 N RIVERFRONT BLVD,DALLAS,Yes
2455353,32723,207,M3,874,7-ELEVEN #34567,711 ELM ST,DALLAS,Yes
1804233,32723,207,M3,192,FOLLETT EL CENTRE COLLEGE,801 MAIN ST,DALLAS,Yes
2427595,32723,207,M3,202,RIVER CUT RATE LIQ.,327 CADIZ ST,DALLAS,Yes
1552965,32723,207,M3,462,REN CONV CENTER (NTTA),1201 ELM ST,DALLAS,Yes
2427753,32723,207,M3,864,7-ELEVEN #34120,1295 COMMERCE ST,DALLAS,Yes
1095704,32723,207,M3,456,WEST END TOBACCO & FD MAR,909 ELM ST,DALLAS,Yes
42010603,32723,207,M3,1138,7-ELEVEN #34997,1010 ROSS AVE,DALLAS,Yes
42187053,32723,207,M3,182,PLAZA SUNDRY & GIFT,901 MAIN ST,DALLAS,Yes
42317902,32723,208,M3,4860,TOM THUMB# 3296,2380 N FIELD ST,DALLAS,Yes
2287942,32723,207,M3,56,SMART MART GRO,1507 S ERVAY ST,DALLAS,Yes
42277557,32723,207,M3,1296,7-ELEVEN #38069,1290 S LAMAR ST,DALLAS,Yes
2236836,32723,207,M3,248,SOUTH CENTRAL GAS(IBC),2111 S CESAR CHAVEZ BLVD,DALLAS,Yes
603915,32723,207,M3,454,SHOP & GO,1909 S CESAR CHAVEZ BLVD,DALLAS,Yes
42020827,33264,212,YJ,13176,KROGER #509,4901 MAPLE AVE,DALLAS,Yes
1493600,33264,212,YJ,9202,KROGER 528,4142 CEDAR SPRINGS RD R,DALLAS,Yes
2183051,33264,202,YJ,11340,WALMART NM #3341,2305 N CENTRAL EXPY,DALLAS,Yes
2183052,33264,202,YJ,586,WALMART NM IMP #3341,2305 N CENTRAL EXPY,DALLAS,Yes
1389981,33264,212,YJ,5770,TARGET #875,2417 N HASKELL AVE,DALLAS,Yes
42036915,33265,205,YJ,14298,KROGER #529,4241 CAPITOL RD,DALLAS,Yes
1529460,33265,212,YJ,13682,KROGER 518,5665 E MOCKINGBIRD LN,DALLAS,Yes
42157650,33265,212,YJ,9448,TOM THUMB #2642,5809 E LOVERS LN,DALLAS,Yes
155576,33266,211,YJ,13188,KROGER 213,752 WYNNEWOOD VILLAGE SHP CTR,DALLAS,Yes
272045,33266,211,YJ,5130,EL RANCHO #10,655 W ILLINOIS #900,DALLAS,Yes
42157428,33266,211,YJ,10702,TOM THUMB,314 S HAMPTON RD,DALLAS,Yes
747394,33266,207,YJ,7230,FIESTA MART #29,611 W JEFFERSON BLVD,DALLAS,Yes
2483428,38077,206,M3,828,7-ELEVEN #34530,511 N AKARD ST,DALLAS,Yes
2289736,38077,206,M3,974,CVS #5314,1411 MAIN ST,DALLAS,Yes
2168328,38077,206,M3,158,PACIFIC GIFT (NTTA),1700 PACIFIC AVE,DALLAS,Yes
42010483,38077,206,M3,712,7-ELEVEN #37014,1502 ELM ST,DALLAS,Yes
42056869,38077,206,M3,1002,7-ELEVEN #36104,1919 BRYAN ST,DALLAS,Yes
42130960,38077,206,M3,1010,7-ELEVEN #37187,211 N ERVAY ST,DALLAS,Yes
2432667,38077,206,M3,152,SNACKS 2 GO,2100 ROSS AVE,DALLAS,Yes
2483427,38077,206,M3,920,7-ELEVEN #34522,2008 COMMERCE ST,DALLAS,Yes
2131120,38077,206,M3,1106,7-ELEVEN #33441,2608 ELM ST,DALLAS,Yes
42292889,38077,206,M3,556,TOM THUMB #3311,2720 LIVE OAK ST,DALLAS,Yes
42338312,38077,206,M3,440,7-ELEVEN #38627,3712 LIVE OAK ST,DALLAS,Yes
42338435,38077,206,M3,260,7-ELEVEN #38519,3435 COMMERCE ST,DALLAS,Yes
2358,38077,206,M3,924,7-ELEVEN #17718,4104 GASTON @ HASKELL,DALLAS,Yes
2259432,38077,206,M3,1480,99 CENTS ONLY #2845,4500 LIVE OAK ST,DALLAS,Yes
2208454,38077,206,M3,820,FAMILY DOLLAR #6984,4311 LIVE OAK ST,DALLAS,Yes
42010623,38077,206,M3,2710,EL RANCHO #25,4121 GASTON AVE,DALLAS,Yes
42081320,38077,206,M3,180,LIVE OAK GAS & MORE,4423 LIVE OAK ST,DALLAS,Yes
604584,38079,201,M3,330,VECTA S FINA (NTTA),6935 SCYENE RD,DALLAS,Yes
2024927,38079,201,M3,452,BENGAL FOOD STORE (IBC),3003 S BUCKNER BLVD,DALLAS,Yes
42067485,38079,201,M3,994,EXXON,3424 S BUCKNER BLVD,DALLAS,Yes
2072182,38079,203,M3,330,TRINITY GRO,5011 MILITARY PKWY,DALLAS,Yes
1285811,38079,201,M3,638,MILITARY QUICK (IBC),5936 MILITARY PKWY,DALLAS,Yes
